"","CAS","SMILES","log_RfD_mg_kg_d","target"
"1","100-00-5","C1=CC(=CC=C1[N+](=O)[O-])Cl",-3.06074462003865,-3.06074462003865
"2","100-01-6","C1=CC(=CC=C1N)[N+](=O)[O-]",-2.19380206013184,-2.19380206013184
"3","10004-44-1","CC1=CC(=O)NO1",-2.01526047863891,-2.01526047863891
"4","1001354-72-8","CCCCC(C(CC)N)O",-1.76989186229551,-1.76989186229551
"5","1001416-18-7",NA,-1.82405033270161,-1.82405033270161
"6","10016-20-3","C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O",1.03281351283392,1.03281351283392
"7","100-18-5","CC(C)C1=CC=C(C=C1)C(C)C",-1.396371664316,-1.396371664316
"8","100-21-0","C1=CC(=CC=C1C(=O)O)C(=O)O",-0.59657266588606,-0.59657266588606
"9","10022-31-8","[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2]",-1.71801944630545,-1.71801944630545
"10","10024-93-8","Cl[Nd](Cl)Cl",-0.677922297023376,-0.677922297023376
"11","100-25-4","C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-]",-3.31956698749619,-3.31956698749619
"12","10026-04-7","[Si](Cl)(Cl)(Cl)Cl",-2.90323157874924,-2.90323157874924
"13","1002-67-1","CCOCCOCCOC",-1.5052915700772,-1.5052915700772
"14","10028-22-5","[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Fe+3].[Fe+3]",-2.01137796616175,-2.01137796616175
"15","1003318-67-9","CC1=CC(=NN1CC(=O)N2CCC(CC2)C3=NC(=CS3)C4=NOC(C4)C5=C(C=CC=C5F)F)C(F)(F)F",-1.93607923259129,-1.93607923259129
"16","100-36-7","CCN(CC)CCN",-1.98241282479686,-1.98241282479686
"17","100-37-8","CCN(CC)CCO",-2.10680703880305,-2.10680703880305
"18","10038-98-9","Cl[Ge](Cl)(Cl)Cl",-1.9914244747439,-1.9914244747439
"19","10039-54-0","[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O",-2.35847048750259,-2.35847048750259
"20","100402-60-6","C(C(CO)O)O.C(C(C(C(C(C=O)OC(C=O)C(C(C(CO)O)O)O)O)O)O)O",-0.417708692712121,-0.417708692712121
"21","100-40-3","C=CC1CCC=CC1",-0.29822961215372,-0.29822961215372
"22","100-41-4","CCC1=CC=CC=C1",-0.476474333235285,-0.476474333235285
"23","100418-33-5","CC1=CC(=C(C=C1)NCCO)[N+](=O)[O-]",-1.94898906930991,-1.94898906930991
"24","100-42-5","C=CC1=CC=CC=C1",-0.153312142358597,-0.153312142358597
"25","10042-59-8","CCCCCC(CCC)CO",-1.19195028238996,-1.19195028238996
"26","10042-76-9","[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Sr+2]",-0.502516805539785,-0.502516805539785
"27","10043-01-3","[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3]",-0.570112596221228,-0.570112596221228
"28","10043-35-3","B(O)(O)O",-0.848874180460493,-0.848874180460493
"29","10043-52-4","[Cl-].[Cl-].[Ca+2]",-0.903231578749239,-0.903231578749239
"30","100-43-6","C=CC1=CC=NC=C1",-2.40605353525507,-2.40605353525507
"31","10043-67-1","[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+]",-1.02877527990803,-1.02877527990803
"32","100-44-7","C1=CC=C(C=C1)CCl",-2.52055085823504,-2.52055085823504
"33","100-47-0","C1=CC=C(C=C1)C#N",-1.53458175102266,-1.53458175102266
"34","10049-04-4","O=Cl[O]",-3.0385613549721,-3.0385613549721
"35","100-51-6","C1=CC=C(C=C1)CO",-0.167167324349282,-0.167167324349282
"36","100-52-7","C1=CC=C(C=C1)C=O",-0.101813775149839,-0.101813775149839
"37","100-54-9","C1=CC(=CN=C1)C#N",-2.39863503348735,-2.39863503348735
"38","100-61-8","CNC1=CC=CC=C1",-2.34367246490817,-2.34367246490817
"39","100-64-1","C1CCC(=NO)CC1",-1.93078955903596,-1.93078955903596
"40","100646-51-3","CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl",-3.01526724254804,-3.01526724254804
"41","100684-33-1",NA,-1.34296386187111,-1.34296386187111
"42","100-69-6","C=CC1=CC=CC=N1",-1.35162918311848,-1.35162918311848
"43","1007-28-9","CCNC1=NC(=NC(=N1)N)Cl",-1.72812686319986,-1.72812686319986
"44","100784-20-1","CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC",-0.627621470593572,-0.627621470593572
"45","100-79-8","CC1(OCC(O1)CO)C",-0.692771781366446,-0.692771781366446
"46","10081-67-1","CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)NC3=CC=C(C=C3)C(C)(C)C4=CC=CC=C4",-2.07862979090854,-2.07862979090854
"47","10094-45-8","CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC=CCCCCCCCC",-0.341481745441195,-0.341481745441195
"48","100-97-0","C1N2CN3CN1CN(C2)C3",-0.337725968384772,-0.337725968384772
"49","10099-58-8","Cl[La](Cl)Cl",-3.31719041826837,-3.31719041826837
"50","10099-59-9","[La+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O",-0.716560824252551,-0.716560824252551
"51","10099-74-8","[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Pb+2]",-6.72714031969356,-6.72714031969356
"52","10101-50-5","[O-][Mn](=O)(=O)=O.[Na+]",-2.30117158742128,-2.30117158742128
"53","10101-66-3","[NH4+].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Mn+3]",0.00203833617405915,0.00203833617405915
"54","101-02-0","C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3",-2.61552488239204,-2.61552488239204
